arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-1980.gr;BFS;LISTA;1;7,0759
sample100-1980.gr;BFS;LISTA;2;5,9184
sample100-1980.gr;BFS;LISTA;3;5,1795
sample100-1980.gr;BFS;LISTA;4;4,8311
sample100-1980.gr;BFS;LISTA;5;4,0270
sample100-1980.gr;BFS;LISTA;6;3,1337
sample100-1980.gr;BFS;LISTA;7;2,9793
sample100-1980.gr;BFS;LISTA;8;3,2315
sample100-1980.gr;BFS;LISTA;9;3,2486
sample100-1980.gr;BFS;LISTA;10;3,0322
sample100-1980.gr;BFS;LISTA;11;3,0457
sample100-1980.gr;BFS;MATRIZ;1;4,2611
sample100-1980.gr;BFS;MATRIZ;2;3,5812
sample100-1980.gr;BFS;MATRIZ;3;3,6135
sample100-1980.gr;BFS;MATRIZ;4;3,2401
sample100-1980.gr;BFS;MATRIZ;5;3,7550
sample100-1980.gr;BFS;MATRIZ;6;3,9385
sample100-1980.gr;BFS;MATRIZ;7;3,0840
sample100-1980.gr;BFS;MATRIZ;8;2,9246
sample100-1980.gr;BFS;MATRIZ;9;3,2847
sample100-1980.gr;BFS;MATRIZ;10;3,7976
sample100-1980.gr;BFS;MATRIZ;11;2,7253
sample100-1980.gr;DFS;LISTA;1;4,0914
sample100-1980.gr;DFS;LISTA;2;2,9065
sample100-1980.gr;DFS;LISTA;3;2,6192
sample100-1980.gr;DFS;LISTA;4;3,3758
sample100-1980.gr;DFS;LISTA;5;2,6517
sample100-1980.gr;DFS;LISTA;6;2,8083
sample100-1980.gr;DFS;LISTA;7;2,6421
sample100-1980.gr;DFS;LISTA;8;2,6605
sample100-1980.gr;DFS;LISTA;9;3,3299
sample100-1980.gr;DFS;LISTA;10;2,3610
sample100-1980.gr;DFS;LISTA;11;2,2296
sample100-1980.gr;DFS;MATRIZ;1;2,2935
sample100-1980.gr;DFS;MATRIZ;2;2,2319
sample100-1980.gr;DFS;MATRIZ;3;2,4495
sample100-1980.gr;DFS;MATRIZ;4;3,7271
sample100-1980.gr;DFS;MATRIZ;5;2,3202
sample100-1980.gr;DFS;MATRIZ;6;2,4557
sample100-1980.gr;DFS;MATRIZ;7;2,9205
sample100-1980.gr;DFS;MATRIZ;8;4,2827
sample100-1980.gr;DFS;MATRIZ;9;2,8816
sample100-1980.gr;DFS;MATRIZ;10;3,2043
sample100-1980.gr;DFS;MATRIZ;11;2,8747
sample100-1980.gr;KRUSKAL;LISTA;1;16,5747
sample100-1980.gr;KRUSKAL;LISTA;2;9,1976
sample100-1980.gr;KRUSKAL;LISTA;3;8,9931
sample100-1980.gr;KRUSKAL;LISTA;4;9,0458
sample100-1980.gr;KRUSKAL;LISTA;5;5,0921
sample100-1980.gr;KRUSKAL;LISTA;6;6,5178
sample100-1980.gr;KRUSKAL;LISTA;7;5,1168
sample100-1980.gr;KRUSKAL;LISTA;8;5,0368
sample100-1980.gr;KRUSKAL;LISTA;9;6,6361
sample100-1980.gr;KRUSKAL;LISTA;10;5,2006
sample100-1980.gr;KRUSKAL;LISTA;11;5,2395
sample100-1980.gr;KRUSKAL;MATRIZ;1;5,6132
sample100-1980.gr;KRUSKAL;MATRIZ;2;4,9917
sample100-1980.gr;KRUSKAL;MATRIZ;3;5,9972
sample100-1980.gr;KRUSKAL;MATRIZ;4;5,1811
sample100-1980.gr;KRUSKAL;MATRIZ;5;5,0175
sample100-1980.gr;KRUSKAL;MATRIZ;6;5,4453
sample100-1980.gr;KRUSKAL;MATRIZ;7;4,6605
sample100-1980.gr;KRUSKAL;MATRIZ;8;5,6240
sample100-1980.gr;KRUSKAL;MATRIZ;9;4,5438
sample100-1980.gr;KRUSKAL;MATRIZ;10;3,4855
sample100-1980.gr;KRUSKAL;MATRIZ;11;3,3615
sample100-1980.gr;PRIM;LISTA;1;7,5709
sample100-1980.gr;PRIM;LISTA;2;4,4234
sample100-1980.gr;PRIM;LISTA;3;3,9193
sample100-1980.gr;PRIM;LISTA;4;3,7524
sample100-1980.gr;PRIM;LISTA;5;3,6692
sample100-1980.gr;PRIM;LISTA;6;3,4686
sample100-1980.gr;PRIM;LISTA;7;4,4797
